Conta_ID,Cliente_ID,Agencia_ID,Saldo
1,164,1,1250.54
2,71,2,11160.54
3,189,1,33834.97
4,140,1,29524.63
5,9,1,4684.76
6,60,5,30100.94
7,144,2,35800.98
8,180,5,20975.99
9,115,5,13909.54
10,2,2,34906.97
11,88,3,7773.97
12,196,3,5110.51
13,98,1,17948.97
14,89,5,13226.04
15,12,4,26811.4
16,97,1,27602.03
17,161,5,44272.59
18,93,5,9614.43
19,18,1,33063.17
20,198,3,49261.08
21,60,1,19006.31
22,117,3,8132.7
23,91,2,33508.76
24,180,1,30456.55
25,44,5,36456.34
26,42,4,18972.77
27,164,5,10980.76
28,84,1,11452.4
29,9,3,20058.24
30,17,2,45656.81
31,146,3,10631.33
32,128,4,44234.16
33,165,4,7143.58
34,36,2,37249.45
35,138,3,37350.69
36,110,5,19970.03
37,57,2,25476.31
38,24,1,43055.15
39,40,2,39603.97
40,109,5,3176.39
41,98,5,49806.07
42,136,3,48553.92
43,3,1,34085.52
44,138,3,38429.94
45,88,1,14675.01
46,41,4,162.27
47,185,3,48594.4
48,196,2,25384.08
49,28,3,42083.47
50,130,5,9945.56
51,96,2,26968.95
52,200,5,45924.67
53,154,3,24430.29
54,29,3,43936.09
55,79,2,2896.26
56,146,1,4282.67
57,125,1,48899.22
58,137,2,6419.57
59,122,5,8256.35
60,136,5,21156.9
61,55,5,37763.26
62,177,2,35647.45
63,103,3,21905.0
64,133,4,6050.21
65,58,1,16904.28
66,151,5,11505.74
67,57,1,3549.65
68,162,1,11447.09
69,9,3,3542.87
70,61,3,33448.89
71,55,5,6615.59
72,147,5,23633.55
73,122,4,9520.5
74,25,4,17714.88
75,106,4,43191.84
76,14,1,3030.63
77,187,3,40029.63
78,28,2,9579.5
79,138,4,7009.11
80,47,3,23131.4
81,20,4,40401.11
82,141,1,2529.42
83,139,1,48449.81
84,193,2,8315.56
85,125,4,10687.36
86,103,1,8231.86
87,1,4,13260.15
88,117,3,21150.37
89,188,5,33093.57
90,125,2,9494.89
91,56,1,28959.01
92,139,1,37398.78
93,15,1,29208.88
94,129,5,7871.64
95,131,1,42567.13
96,18,5,3398.04
97,61,4,5994.33
98,146,2,28945.95
99,11,5,4099.17
100,169,5,28261.35
101,81,3,10212.96
102,184,3,11934.3
103,102,2,33584.51
104,77,4,15808.86
105,193,1,465.77
106,160,5,49804.82
107,19,5,10657.72
108,68,2,46662.97
109,18,2,18476.35
110,41,4,41687.25
111,181,3,30583.89
112,168,5,391.16
113,142,3,46587.8
114,27,2,13223.3
115,28,5,7772.4
116,73,5,10531.48
117,88,2,34374.86
118,68,5,24426.59
119,14,1,31714.22
120,71,1,177.28
121,198,2,31855.67
122,68,2,37061.55
123,142,4,28045.34
124,29,1,47252.55
125,177,2,27279.51
126,95,5,27626.25
127,111,2,2091.44
128,94,1,44946.23
129,54,2,33346.67
130,91,5,44206.74
131,105,5,37473.88
132,61,2,48810.3
133,46,4,1239.32
134,189,3,39119.32
135,106,2,13340.29
136,180,1,19127.09
137,10,4,11121.69
138,118,3,15259.54
139,59,2,1183.22
140,50,4,16413.1
141,18,3,17557.31
142,131,4,33975.91
143,138,3,46961.86
144,30,3,8928.39
145,68,1,5420.13
146,112,3,36427.25
147,81,4,30310.44
148,131,1,19259.77
149,148,2,12736.13
150,182,4,84.56
151,138,2,18211.07
152,18,3,31157.77
153,170,1,35987.71
154,77,5,15464.23
155,105,3,20120.02
156,76,5,6364.39
157,108,4,33865.9
158,45,5,28455.26
159,104,5,41686.26
160,78,3,10509.13
161,149,5,32735.28
162,120,4,22107.99
163,55,5,23659.31
164,189,2,32942.54
165,73,5,33192.69
166,159,3,4669.36
167,193,2,33639.78
168,58,2,7367.7
169,12,2,49196.8
170,157,1,22770.81
171,162,5,9721.76
172,179,4,24718.86
