Emprestimo_ID,Cliente_ID,Valor_Contratado,Parcelas,Data_Contrato
1,83,24206.08,36,2026-07-28
2,54,17410.26,12,2025-05-06
3,185,11045.44,60,2025-11-01
4,140,12028.02,24,2026-06-26
5,191,13502.38,24,2026-01-13
6,56,7870.52,36,2026-06-20
7,62,27865.27,12,2024-12-13
8,9,22635.64,24,2024-12-22
9,168,11045.87,36,2026-06-24
10,51,18250.54,24,2024-12-09
11,164,11707.74,24,2025-01-04
12,117,25437.44,48,2026-04-08
13,172,22643.99,12,2026-02-23
14,45,24697.05,24,2024-09-27
15,80,11502.37,48,2025-07-10
16,9,4567.38,12,2025-04-15
17,189,24609.92,12,2025-04-16
18,114,11180.61,48,2026-03-09
19,61,20344.02,36,2026-04-08
20,143,6687.33,24,2025-07-31
21,76,25136.9,24,2025-03-31
22,32,10770.16,36,2025-12-18
23,110,17795.15,36,2025-01-06
24,57,17042.64,60,2024-11-18
25,122,3027.58,12,2026-07-17
26,60,10386.08,60,2024-11-29
27,56,11107.66,60,2025-01-23
28,175,17949.9,12,2024-08-21
29,90,23720.31,36,2025-12-15
30,138,27001.5,24,2026-04-05
31,85,13563.35,48,2025-03-03
32,55,18716.45,36,2024-08-28
33,51,20526.16,24,2025-08-10
34,32,13483.37,24,2025-09-09
35,1,19679.41,60,2026-06-14
36,37,28066.75,48,2025-09-10
37,170,16472.46,48,2025-10-15
38,143,9504.52,48,2026-05-08
39,124,10584.92,36,2024-08-23
40,57,12513.5,48,2025-12-04
41,36,2367.05,60,2026-07-05
42,113,25978.32,36,2025-09-06
43,10,24979.71,48,2025-02-19
44,158,18190.73,24,2025-02-03
45,188,16849.16,48,2025-11-19
46,133,10559.27,36,2026-01-13
47,75,3282.92,36,2025-08-23
48,147,7860.62,12,2025-08-06
49,197,27252.06,12,2025-07-03
50,82,12064.1,60,2025-07-28
51,82,10053.1,12,2024-10-19
52,44,12218.37,24,2025-11-28
53,26,16019.03,48,2025-11-28
54,184,21102.48,12,2024-08-24
55,184,8120.33,48,2025-02-25
56,64,5923.66,36,2026-07-05
57,190,4549.76,36,2025-10-18
58,44,5193.81,12,2025-03-23
59,110,24755.42,48,2025-12-13
60,24,6778.83,12,2025-12-20
