Transacao_ID,Conta_Origem_ID,Conta_Destino_ID,Tipo_Transacao_ID,Valor,Data_Hora
1,220,288,1,3046.93,2025-05-17T00:11:00
2,140,159,3,1758.36,2025-04-03T04:36:00
3,206,36,2,3706.14,2025-01-16T02:47:00
4,272,111,4,2102.06,2025-06-24T05:23:00
5,160,167,1,4417.29,2025-03-21T05:48:00
6,26,42,3,2218.35,2025-08-06T15:38:00
7,227,213,3,1081.77,2025-09-20T03:22:00
8,221,57,3,3392.7,2025-09-07T16:42:00
9,158,24,2,1979.34,2025-01-29T00:13:00
10,155,109,2,3821.98,2025-05-29T10:07:00
11,4,255,4,882.6,2025-07-14T17:45:00
12,118,257,3,365.02,2025-01-22T13:01:00
13,236,40,3,2880.92,2025-10-21T12:45:00
14,214,149,1,2028.14,2025-06-16T05:51:00
15,236,186,1,2186.38,2025-02-24T07:27:00
16,206,269,1,1981.85,2025-06-08T23:21:00
17,114,171,2,386.51,2025-02-28T16:32:00
18,100,179,3,3638.26,2025-03-17T07:06:00
19,75,132,2,871.63,2025-03-20T20:04:00
20,91,253,4,3773.46,2025-10-24T14:43:00
21,290,166,3,759.03,2025-02-04T15:28:00
22,156,141,1,1762.95,2025-02-07T09:29:00
23,232,20,1,1846.84,2025-05-27T02:41:00
24,47,260,4,2316.24,2025-10-11T23:57:00
25,22,231,2,1611.03,2025-09-01T16:09:00
26,32,231,1,4055.78,2025-06-25T22:05:00
27,259,89,1,1242.48,2025-08-13T14:33:00
28,268,82,3,1867.4,2025-05-25T12:26:00
29,174,27,3,334.23,2025-02-18T17:43:00
30,198,146,3,3620.05,2025-03-18T10:05:00
31,299,73,3,1554.61,2025-07-20T04:38:00
32,44,159,4,3219.25,2025-06-18T04:42:00
33,270,48,4,2544.9,2025-01-10T11:19:00
34,93,110,3,4738.6,2025-09-06T06:14:00
35,71,80,1,1482.48,2025-02-21T16:49:00
36,277,270,1,3311.34,2025-03-09T19:24:00
37,79,84,2,4157.57,2025-03-26T23:28:00
38,23,211,3,3383.43,2025-05-02T14:39:00
39,146,230,2,2672.39,2025-06-08T15:57:00
40,100,189,4,2311.09,2025-05-25T12:32:00
41,271,215,2,4085.37,2025-03-12T08:03:00
42,247,191,1,3558.45,2025-09-22T03:18:00
43,43,83,3,2249.35,2025-09-20T04:53:00
44,224,47,2,4084.43,2025-06-28T00:26:00
45,28,203,3,1182.71,2025-02-11T11:14:00
46,15,164,1,4196.69,2025-06-21T04:08:00
47,20,147,4,3481.88,2025-03-13T22:30:00
48,230,3,1,99.92,2025-04-21T04:35:00
49,271,217,1,3881.98,2025-05-02T09:07:00
50,25,123,4,3196.56,2025-08-23T02:07:00
51,256,275,1,3161.61,2025-10-22T07:45:00
52,74,150,4,12.81,2025-06-30T07:36:00
53,214,96,1,2619.81,2025-07-04T02:33:00
54,279,260,1,1955.32,2025-08-29T01:40:00
55,199,192,3,3737.85,2025-07-02T02:22:00
56,124,54,3,671.38,2025-06-30T17:21:00
57,90,238,4,3160.52,2025-03-11T02:45:00
58,235,19,3,1011.95,2025-04-13T01:20:00
59,159,264,4,4945.67,2025-10-06T15:16:00
60,19,98,3,1788.09,2025-01-25T20:21:00
61,140,64,3,2187.57,2025-07-24T23:28:00
62,198,174,2,2483.54,2025-09-12T11:59:00
63,266,137,1,3636.77,2025-02-10T13:38:00
64,93,280,3,1609.45,2025-02-10T10:42:00
65,152,157,4,3015.1,2025-08-07T05:44:00
66,228,180,4,216.56,2025-06-30T19:27:00
67,141,30,1,3357.56,2025-07-27T11:32:00
68,82,16,2,4244.1,2025-08-13T01:08:00
69,35,121,3,1813.94,2025-10-18T01:38:00
70,79,231,3,1863.21,2025-02-09T18:08:00
71,272,188,4,1575.36,2025-05-23T07:07:00
72,14,96,4,2591.14,2025-10-15T03:16:00
73,134,229,2,4981.84,2025-05-27T22:58:00
